1165628831845081088,2019-08-25 14:15:44,b'@askmenfess Kamu udh vaksin belom? Vaksin dulu sana biar gak snewen.',,,,b'on the right track',b'\xe2\x81\xbf\xe1\xb5\x8d\xe1\xb5\x83\xe1\xb5\x96\xe1\xb5\x83\xe2\x81\xb1\xe2\x81\xbf \xca\xb2\xe1\xb5\x98\xe1\xb5\x8d\xe1\xb5\x83 \xe1\xb5\x8d\xe1\xb5\x98\xe1\xb5\x89',b'tessyong',0,0
1165628516580249600,2019-08-25 14:14:29,b'@alsoknownaswell Bodo nya kitu da ai keur leutikna di imunisasi make kuah soto mah',,,,b'Cimahi',b'rakha',b'xrkhcptmx',0,0
1165627784032444417,2019-08-25 14:11:34,b'@lousangyeon @markliuwu bodoamat maunya imunisasi',,,,b' \xef\xbd\x94\xef\xbd\x82\xef\xbd\x9a\xef\xbc\x8c\xef\xbd\x98\xef\xbc\x91\xef\xbc\x8c\xef\xbd\x84\xef\xbd\x81\xef\xbd\x99\xef\xbc\x96\xcb\x9a\xe2\x9c\xa7\xe2\x82\x8a\xe2\x81\x8e',b'micha lembut',b'kyuniverze',0,0
1165627478179639298,2019-08-25 14:10:21,b'Hahahahahaha\nProgram imunisasi tiap minggu. Biar makin dekat dengan Mahmud \xf0\x9f\xa4\xa3 https://t.co/EGLRu8oxxp',,,,"b'Banjarnegara, Indonesia'",b'Pupuk Organik',b'mwgbdaya',0,0
1165626737427910657,2019-08-25 14:07:25,"b'Selamat pengantin baru @lisafikry, semoga bahagia sampai syurga.\n\nDapat anak nanti, jangan lupa vaksin. https://t.co/rXpmgz5qIW'",,,,b'rahsia.',"b""Dato' S""",b'caey_',0,0
1165626600555040768,2019-08-25 14:06:52,b'@kyuniverze @markliuwu bukan imunisasi juga gublu ^______^',,,,b'\xf0\x9d\x90\x92\xf0\x9d\x90\x80\xf0\x9d\x90\x8d\xf0\x9d\x90\x86\xf0\x9d\x90\x98\xf0\x9d\x90\x84\xf0\x9d\x90\x8e\xf0\x9d\x90\x8d\xf0\x9f\xa5\xad',b'khey kalem.',b'lousangyeon',0,0
1165626239966515200,2019-08-25 14:05:26,b'@markliuwu @lousangyeon imunisasi tu yang penganut setan mata satu itu loooohhh',,,,b' \xef\xbd\x94\xef\xbd\x82\xef\xbd\x9a\xef\xbc\x8c\xef\xbd\x98\xef\xbc\x91\xef\xbc\x8c\xef\xbd\x84\xef\xbd\x81\xef\xbd\x99\xef\xbc\x96\xcb\x9a\xe2\x9c\xa7\xe2\x82\x8a\xe2\x81\x8e',b'micha lembut',b'kyuniverze',0,0
1165623933879455745,2019-08-25 13:56:16,"b'@kyuniverze @lousangyeon imunisasi kan buat bayi, berarti sy imut mksh yh'",,,,b'nct ft. tbz',b'aleya soft',b'markliuwu',0,0
1165622997107036161,2019-08-25 13:52:33,b'@markliuwu @lousangyeon drpd stan aleya imunisasi',,,,b' \xef\xbd\x94\xef\xbd\x82\xef\xbd\x9a\xef\xbc\x8c\xef\xbd\x98\xef\xbc\x91\xef\xbc\x8c\xef\xbd\x84\xef\xbd\x81\xef\xbd\x99\xef\xbc\x96\xcb\x9a\xe2\x9c\xa7\xe2\x82\x8a\xe2\x81\x8e',b'micha lembut',b'kyuniverze',0,0
1165620790194294786,2019-08-25 13:43:47,b'Hari ini anak ibu mau Vaksin dulu\xf0\x9f\x92\x89\n\nSehat selalu yah nak\xe2\x9d\xa4\n\nAamiin @ Limijati Hospital https://t.co/BXWG14AjLU',,"Place(_api=<tweepy.api.API object at 0x000001CDC1520A58>, id='0e31d9f14c515836', url='https://api.twitter.com/1.1/geo/id/0e31d9f14c515836.json', place_type='city', name='Bandung Wetan', full_name='Bandung Wetan, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDC1520A58>, type='Polygon', coordinates=[[[107.6022708, -6.9157047], [107.6343821, -6.9157047], [107.6343821, -6.895133], [107.6022708, -6.895133]]]), attributes={})","{'type': 'Point', 'coordinates': [107.61370752, -6.90622079]}","b'Bandung, Indonesia'",b'Ersha Rosana',b'EchaOchana',0,0
