id,created_at,text,time_zone,place,coordinates,location,user_name,screen_name,retweet_count,favourite_count
1164900190806876160,2019-08-23 14:00:22,"b'Besok waktunya Senja vaksin trus mikir iki lek ga ditanggung kantor yo mayan tiap vaksin tambahan, bayarnya hampir sejuta \xf0\x9f\x99\x83'",,"Place(_api=<tweepy.api.API object at 0x000001CDBF542A20>, id='e4d3eb9106fe011f', url='https://api.twitter.com/1.1/geo/id/e4d3eb9106fe011f.json', place_type='city', name='Sukun', full_name='Sukun, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBF542A20>, type='Polygon', coordinates=[[[112.581564, -8.032391], [112.635586, -8.032391], [112.635586, -7.947026], [112.581564, -7.947026]]]), attributes={})",,"b'Malang,Indonesia'",b'\xf0\x9f\x98\x8c',b'anandinakana',0,0
1164900029158453248,2019-08-23 13:59:44,"b'@datomazza Byk komen aq baca ,mereka mcm mmg xde akidah ke...duk main salahkan agama cmtu je..pstu ckap zaman nabi xde itu ini lah....kita ckap psal hal vaksin ni n as we all know dia dicipta utk good effect tpi side effect dia tu ada sbb tu sesetengah ibu bapa xnak sbb side effect tu'",,,,b'',b'Anuar Halim',b'AnuarHalim3',0,0
1164899856072077312,2019-08-23 13:59:03,"b'@aureliald Flu di sana utk influenza al, dan itu disebabkan virus, makanya dikasih vaksin, biar badannya kebal sm si virus ini, makanya kalo di eropa/us bilang flu bs bikin diisolasi\nYg dibilang flu di sini setara common cold di sana, paling cm disuruh istirahat/pol mentok dikasih vitamin'",,,,b'0293 - 021',b'La.',b'yolandatyas',0,0
1164898028567662592,2019-08-23 13:51:47,b'@aqifaqaifa Vaksin apa?',,"Place(_api=<tweepy.api.API object at 0x000001CDBF542A20>, id='4313fafe1157eaaf', url='https://api.twitter.com/1.1/geo/id/4313fafe1157eaaf.json', place_type='city', name='Labu', full_name='Labu, Negeri Sembilan', country_code='MY', country='Malaysia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBF542A20>, type='Polygon', coordinates=[[[101.754231, 2.6271132], [101.9156111, 2.6271132], [101.9156111, 2.8241025], [101.754231, 2.8241025]]]), attributes={})",,"b'Selangor, Malaysia'",b'nurulpenyejuk\xf0\x9f\x90\xb0',b'nanasui28',0,0
1164897181385363457,2019-08-23 13:48:25,"b'@yolandatyas hahhahaah emang gimana mun? aku kemarin vaksin fluquadry, tp aku tetep flu \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94'",,,,b'Indonesia',b'Aur\xc3\xa9lie',b'aureliald',0,0
1164897039131353088,2019-08-23 13:47:51,"b'Kesel gua liat anak kecil di imunisasi, badan jadi mekar otak tetep layu. Kaya daun singkong direbus.'",,"Place(_api=<tweepy.api.API object at 0x000001CDBF542A20>, id='93aa30b3e9be6b59', url='https://api.twitter.com/1.1/geo/id/93aa30b3e9be6b59.json', place_type='city', name='Cengkareng', full_name='Cengkareng, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBF542A20>, type='Polygon', coordinates=[[[106.704469, -6.189221], [106.783525, -6.189221], [106.783525, -6.112283], [106.704469, -6.112283]]]), attributes={})",,"b'Jakarta Barat, DKI Jakarta'",b'KASIHKU',b'sahidalulu45',0,0
1164895191771172864,2019-08-23 13:40:31,b'@mysetf iyaaaa kita temen sebangku waktu imunisasi',,,,b'',b'\xf0\x9d\x90\x9d\xf0\x9d\x90\x9e\xf0\x9d\x90\xaf\xf0\x9d\x90\xa2\xf0\x9d\x90\xa9 \xf0\x9d\x90\xa6\xf0\x9d\x90\x9e\xf0\x9d\x90\xb3',b'temensebangku',0,0
1164894790682476544,2019-08-23 13:38:55,b'@pantatkutipis imunisasi campak dulu lah biar ngga sering dicampakkan :(',,,,b'',b'N A D A \xf0\x9f\xa6\x84',b'embunsurga_',0,1
1164894092825772032,2019-08-23 13:36:09,b'@stickcheddar @dmvst Cowo apa cewe? Udah di vaksin belum?',,,,"b'Jakarta Capital Region, Indonesia'",b'chxn',b'univrs__',0,0
1164892881162657793,2019-08-23 13:31:20,b'@pergijauh Gitu kalo bayi nya ga di imunisasi',,,,b'J A K A R T A N S ',b'Dikhacangin !',b'DikhPratama',0,0
1164892828603834368,2019-08-23 13:31:07,b'Alhamdulillah..dpt free vaksin  \n\n#feelinggrateful',,,,"b'selayang,selangor'",b'afyqa',b'aqifaqaifa',0,1
1164889056175464448,2019-08-23 13:16:08,b'@CNNIndonesia Ketika ada pemalsuan vaksin dikatakan tdk perlu khawatir krn vaksin tdk menjamin semuanya. Ketika ada proyek vaksinasi s/d ada ancaman. Yg divaksin yg paling sering jd obyek kepentingan.',,,,b'',b'Kunto Purboyo',b'KPurboyo',0,0
